name,и,ы,е,э,ä,а,у,у_1,о,ъ,ь,ṷ,ў,п,п’,б,б’,ф,ф’,в,в’,м,м’,т,т’,д,д’,с,с’,з,з’,н,н’,л,л’,ц,дз,ш,ш’,ж,ж’,ч’,дж’,р,р’,j,к,к’,г,г’,х,х’,ɣ,ŋ
и,0.000,0.125,0.125,0.250,0.250,0.375,0.250,0.125,0.375,0.375,0.250,0.667,0.778,1.000,0.909,1.000,0.909,1.000,0.900,1.000,0.889,0.900,0.800,1.000,0.909,1.000,0.909,1.000,0.900,1.000,0.900,0.900,0.800,0.750,0.625,1.000,1.000,1.000,0.900,1.000,0.900,0.909,0.909,0.800,0.700,0.778,1.000,0.909,1.000,0.909,1.000,0.900,1.000,0.900
ы,0.125,0.000,0.250,0.125,0.375,0.250,0.125,0.250,0.250,0.250,0.375,0.778,0.667,0.909,1.000,0.909,1.000,0.900,1.000,0.889,1.000,0.800,0.900,0.909,1.000,0.909,1.000,0.900,1.000,0.900,1.000,0.800,0.900,0.625,0.750,0.909,0.909,0.900,1.000,0.900,1.000,1.000,1.000,0.700,0.800,0.889,0.909,1.000,0.909,1.000,0.900,1.000,0.900,0.800
е,0.125,0.250,0.000,0.125,0.125,0.250,0.375,0.250,0.250,0.250,0.125,0.667,0.778,1.000,0.909,1.000,0.909,1.000,0.900,1.000,0.889,0.900,0.800,1.000,0.909,1.000,0.909,1.000,0.900,1.000,0.900,0.900,0.800,0.750,0.625,1.000,1.000,1.000,0.900,1.000,0.900,0.909,0.909,0.800,0.700,0.778,1.000,0.909,1.000,0.909,1.000,0.900,1.000,0.900
э,0.250,0.125,0.125,0.000,0.250,0.125,0.250,0.375,0.125,0.125,0.250,0.778,0.667,0.909,1.000,0.909,1.000,0.900,1.000,0.889,1.000,0.800,0.900,0.909,1.000,0.909,1.000,0.900,1.000,0.900,1.000,0.800,0.900,0.625,0.750,0.909,0.909,0.900,1.000,0.900,1.000,1.000,1.000,0.700,0.800,0.889,0.909,1.000,0.909,1.000,0.900,1.000,0.900,0.800
ä,0.250,0.375,0.125,0.250,0.000,0.125,0.500,0.375,0.375,0.375,0.250,0.667,0.778,1.000,0.909,1.000,0.909,1.000,0.900,1.000,0.889,0.900,0.800,1.000,0.909,1.000,0.909,1.000,0.900,1.000,0.900,0.900,0.800,0.750,0.625,1.000,1.000,1.000,0.900,1.000,0.900,0.909,0.909,0.800,0.700,0.778,1.000,0.909,1.000,0.909,1.000,0.900,1.000,0.900
а,0.375,0.250,0.250,0.125,0.125,0.000,0.375,0.500,0.250,0.250,0.375,0.778,0.667,0.909,1.000,0.909,1.000,0.900,1.000,0.889,1.000,0.800,0.900,0.909,1.000,0.909,1.000,0.900,1.000,0.900,1.000,0.800,0.900,0.625,0.750,0.909,0.909,0.900,1.000,0.900,1.000,1.000,1.000,0.700,0.800,0.889,0.909,1.000,0.909,1.000,0.900,1.000,0.900,0.800
у,0.250,0.125,0.375,0.250,0.500,0.375,0.000,0.125,0.125,0.375,0.500,0.778,0.667,0.909,1.000,0.909,1.000,0.900,1.000,0.889,1.000,0.800,0.900,0.909,1.000,0.909,1.000,0.900,1.000,0.900,1.000,0.800,0.900,0.625,0.750,0.909,0.909,0.900,1.000,0.900,1.000,1.000,1.000,0.700,0.800,0.889,0.909,1.000,0.909,1.000,0.900,1.000,0.900,0.800
у_1,0.125,0.250,0.250,0.375,0.375,0.500,0.125,0.000,0.250,0.500,0.375,0.667,0.778,1.000,0.909,1.000,0.909,1.000,0.900,1.000,0.889,0.900,0.800,1.000,0.909,1.000,0.909,1.000,0.900,1.000,0.900,0.900,0.800,0.750,0.625,1.000,1.000,1.000,0.900,1.000,0.900,0.909,0.909,0.800,0.700,0.778,1.000,0.909,1.000,0.909,1.000,0.900,1.000,0.900
о,0.375,0.250,0.250,0.125,0.375,0.250,0.125,0.250,0.000,0.250,0.375,0.778,0.667,0.909,1.000,0.909,1.000,0.900,1.000,0.889,1.000,0.800,0.900,0.909,1.000,0.909,1.000,0.900,1.000,0.900,1.000,0.800,0.900,0.625,0.750,0.909,0.909,0.900,1.000,0.900,1.000,1.000,1.000,0.700,0.800,0.889,0.909,1.000,0.909,1.000,0.900,1.000,0.900,0.800
ъ,0.375,0.250,0.250,0.125,0.375,0.250,0.375,0.500,0.250,0.000,0.125,0.778,0.667,0.909,1.000,0.909,1.000,0.900,1.000,0.889,1.000,0.800,0.900,0.909,1.000,0.909,1.000,0.900,1.000,0.900,1.000,0.800,0.900,0.625,0.750,0.909,0.909,0.900,1.000,0.900,1.000,1.000,1.000,0.700,0.800,0.889,0.909,1.000,0.909,1.000,0.900,1.000,0.900,0.800
ь,0.250,0.375,0.125,0.250,0.250,0.375,0.500,0.375,0.375,0.125,0.000,0.667,0.778,1.000,0.909,1.000,0.909,1.000,0.900,1.000,0.889,0.900,0.800,1.000,0.909,1.000,0.909,1.000,0.900,1.000,0.900,0.900,0.800,0.750,0.625,1.000,1.000,1.000,0.900,1.000,0.900,0.909,0.909,0.800,0.700,0.778,1.000,0.909,1.000,0.909,1.000,0.900,1.000,0.900
ṷ,0.667,0.778,0.667,0.778,0.667,0.778,0.778,0.667,0.778,0.778,0.667,0.000,0.222,0.636,0.545,0.636,0.545,0.500,0.400,0.556,0.444,0.600,0.500,0.727,0.636,0.727,0.636,0.600,0.500,0.600,0.500,0.700,0.600,0.778,0.667,0.727,0.727,0.500,0.400,0.500,0.400,0.545,0.545,0.600,0.500,0.111,0.545,0.455,0.545,0.455,0.400,0.300,0.400,0.500
ў,0.778,0.667,0.778,0.667,0.778,0.667,0.667,0.778,0.667,0.667,0.778,0.222,0.000,0.455,0.545,0.455,0.545,0.300,0.400,0.333,0.444,0.400,0.500,0.545,0.636,0.545,0.636,0.400,0.500,0.400,0.500,0.500,0.600,0.556,0.667,0.545,0.545,0.500,0.600,0.500,0.600,0.727,0.727,0.600,0.700,0.333,0.545,0.636,0.545,0.636,0.400,0.500,0.400,0.500
п,1.000,0.909,1.000,0.909,1.000,0.909,0.909,1.000,0.909,0.909,1.000,0.636,0.455,0.000,0.091,0.091,0.182,0.182,0.273,0.364,0.455,0.273,0.364,0.091,0.182,0.182,0.273,0.273,0.364,0.364,0.455,0.364,0.455,0.636,0.727,0.182,0.273,0.364,0.455,0.455,0.545,0.364,0.455,0.455,0.545,0.545,0.091,0.182,0.182,0.273,0.273,0.364,0.364,0.364
п’,0.909,1.000,0.909,1.000,0.909,1.000,1.000,0.909,1.000,1.000,0.909,0.545,0.545,0.091,0.000,0.182,0.091,0.273,0.182,0.455,0.364,0.364,0.273,0.182,0.091,0.273,0.182,0.364,0.273,0.455,0.364,0.455,0.364,0.727,0.636,0.273,0.364,0.455,0.364,0.545,0.455,0.273,0.364,0.545,0.455,0.455,0.182,0.091,0.273,0.182,0.364,0.273,0.455,0.455
б,1.000,0.909,1.000,0.909,1.000,0.909,0.909,1.000,0.909,0.909,1.000,0.636,0.455,0.091,0.182,0.000,0.091,0.273,0.364,0.273,0.364,0.273,0.364,0.182,0.273,0.091,0.182,0.364,0.455,0.273,0.364,0.364,0.455,0.636,0.727,0.273,0.182,0.455,0.545,0.364,0.455,0.455,0.364,0.455,0.545,0.545,0.182,0.273,0.091,0.182,0.364,0.455,0.273,0.364
б’,0.909,1.000,0.909,1.000,0.909,1.000,1.000,0.909,1.000,1.000,0.909,0.545,0.545,0.182,0.091,0.091,0.000,0.364,0.273,0.364,0.273,0.364,0.273,0.273,0.182,0.182,0.091,0.455,0.364,0.364,0.273,0.455,0.364,0.727,0.636,0.364,0.273,0.545,0.455,0.455,0.364,0.364,0.273,0.545,0.455,0.455,0.273,0.182,0.182,0.091,0.455,0.364,0.364,0.455
ф,1.000,0.900,1.000,0.900,1.000,0.900,0.900,1.000,0.900,0.900,1.000,0.500,0.300,0.182,0.273,0.273,0.364,0.000,0.100,0.200,0.300,0.400,0.500,0.273,0.364,0.364,0.455,0.100,0.200,0.200,0.300,0.500,0.600,0.600,0.700,0.273,0.364,0.200,0.300,0.300,0.400,0.455,0.545,0.600,0.700,0.400,0.273,0.364,0.364,0.455,0.100,0.200,0.200,0.500
ф’,0.900,1.000,0.900,1.000,0.900,1.000,1.000,0.900,1.000,1.000,0.900,0.400,0.400,0.273,0.182,0.364,0.273,0.100,0.000,0.300,0.200,0.500,0.400,0.364,0.273,0.455,0.364,0.200,0.100,0.300,0.200,0.600,0.500,0.700,0.600,0.364,0.455,0.300,0.200,0.400,0.300,0.364,0.455,0.700,0.600,0.300,0.364,0.273,0.455,0.364,0.200,0.100,0.300,0.600
в,1.000,0.889,1.000,0.889,1.000,0.889,0.889,1.000,0.889,0.889,1.000,0.556,0.333,0.364,0.455,0.273,0.364,0.200,0.300,0.000,0.111,0.500,0.600,0.455,0.545,0.364,0.455,0.300,0.400,0.200,0.300,0.600,0.700,0.556,0.667,0.455,0.364,0.400,0.500,0.300,0.400,0.636,0.545,0.600,0.700,0.444,0.455,0.545,0.364,0.455,0.300,0.400,0.200,0.600
в’,0.889,1.000,0.889,1.000,0.889,1.000,1.000,0.889,1.000,1.000,0.889,0.444,0.444,0.455,0.364,0.364,0.273,0.300,0.200,0.111,0.000,0.600,0.500,0.545,0.455,0.455,0.364,0.400,0.300,0.300,0.200,0.700,0.600,0.667,0.556,0.545,0.455,0.500,0.400,0.400,0.300,0.545,0.455,0.700,0.600,0.333,0.545,0.455,0.455,0.364,0.400,0.300,0.300,0.700
м,0.900,0.800,0.900,0.800,0.900,0.800,0.800,0.900,0.800,0.800,0.900,0.600,0.400,0.273,0.364,0.273,0.364,0.400,0.500,0.500,0.600,0.000,0.100,0.364,0.455,0.364,0.455,0.500,0.600,0.500,0.600,0.100,0.200,0.600,0.700,0.455,0.455,0.600,0.700,0.600,0.700,0.636,0.636,0.400,0.500,0.500,0.364,0.455,0.364,0.455,0.500,0.600,0.500,0.100
м’,0.800,0.900,0.800,0.900,0.800,0.900,0.900,0.800,0.900,0.900,0.800,0.500,0.500,0.364,0.273,0.364,0.273,0.500,0.400,0.600,0.500,0.100,0.000,0.455,0.364,0.455,0.364,0.600,0.500,0.600,0.500,0.200,0.100,0.700,0.600,0.545,0.545,0.700,0.600,0.700,0.600,0.545,0.545,0.500,0.400,0.400,0.455,0.364,0.455,0.364,0.600,0.500,0.600,0.200
т,1.000,0.909,1.000,0.909,1.000,0.909,0.909,1.000,0.909,0.909,1.000,0.727,0.545,0.091,0.182,0.182,0.273,0.273,0.364,0.455,0.545,0.364,0.455,0.000,0.091,0.091,0.182,0.182,0.273,0.273,0.364,0.273,0.364,0.545,0.636,0.091,0.182,0.273,0.364,0.364,0.455,0.273,0.364,0.364,0.455,0.636,0.182,0.273,0.273,0.364,0.364,0.455,0.455,0.455
т’,0.909,1.000,0.909,1.000,0.909,1.000,1.000,0.909,1.000,1.000,0.909,0.636,0.636,0.182,0.091,0.273,0.182,0.364,0.273,0.545,0.455,0.455,0.364,0.091,0.000,0.182,0.091,0.273,0.182,0.364,0.273,0.364,0.273,0.636,0.545,0.182,0.273,0.364,0.273,0.455,0.364,0.182,0.273,0.455,0.364,0.545,0.273,0.182,0.364,0.273,0.455,0.364,0.545,0.545
д,1.000,0.909,1.000,0.909,1.000,0.909,0.909,1.000,0.909,0.909,1.000,0.727,0.545,0.182,0.273,0.091,0.182,0.364,0.455,0.364,0.455,0.364,0.455,0.091,0.182,0.000,0.091,0.273,0.364,0.182,0.273,0.273,0.364,0.545,0.636,0.182,0.091,0.364,0.455,0.273,0.364,0.364,0.273,0.364,0.455,0.636,0.273,0.364,0.182,0.273,0.455,0.545,0.364,0.455
д’,0.909,1.000,0.909,1.000,0.909,1.000,1.000,0.909,1.000,1.000,0.909,0.636,0.636,0.273,0.182,0.182,0.091,0.455,0.364,0.455,0.364,0.455,0.364,0.182,0.091,0.091,0.000,0.364,0.273,0.273,0.182,0.364,0.273,0.636,0.545,0.273,0.182,0.455,0.364,0.364,0.273,0.273,0.182,0.455,0.364,0.545,0.364,0.273,0.273,0.182,0.545,0.455,0.455,0.545
с,1.000,0.900,1.000,0.900,1.000,0.900,0.900,1.000,0.900,0.900,1.000,0.600,0.400,0.273,0.364,0.364,0.455,0.100,0.200,0.300,0.400,0.500,0.600,0.182,0.273,0.273,0.364,0.000,0.100,0.100,0.200,0.400,0.500,0.500,0.600,0.182,0.273,0.100,0.200,0.200,0.300,0.364,0.455,0.500,0.600,0.500,0.364,0.455,0.455,0.545,0.200,0.300,0.300,0.600
с’,0.900,1.000,0.900,1.000,0.900,1.000,1.000,0.900,1.000,1.000,0.900,0.500,0.500,0.364,0.273,0.455,0.364,0.200,0.100,0.400,0.300,0.600,0.500,0.273,0.182,0.364,0.273,0.100,0.000,0.200,0.100,0.500,0.400,0.600,0.500,0.273,0.364,0.200,0.100,0.300,0.200,0.273,0.364,0.600,0.500,0.400,0.455,0.364,0.545,0.455,0.300,0.200,0.400,0.700
з,1.000,0.900,1.000,0.900,1.000,0.900,0.900,1.000,0.900,0.900,1.000,0.600,0.400,0.364,0.455,0.273,0.364,0.200,0.300,0.200,0.300,0.500,0.600,0.273,0.364,0.182,0.273,0.100,0.200,0.000,0.100,0.400,0.500,0.500,0.600,0.273,0.182,0.200,0.300,0.100,0.200,0.455,0.364,0.500,0.600,0.500,0.455,0.545,0.364,0.455,0.300,0.400,0.200,0.600
